code	date	gender	0_to_4	10_to_14	15_to_19	20_to_24	25_to_29	30_to_34	35_to_39	40_to_44	45_to_49	50_to_54	55_to_59	5_to_9	60_to_64	65_to_69	70_to_74	75_to_79	80_to_84	85_to_89	90+
E12000008	2020-03-18	maleCases	3	2	2	8	16	19	16	17	20	31	11	1	29	22	32	47	26	24	26
E12000009	2020-03-18	maleCases	0	1	2	4	11	1	4	7	13	9	23	0	11	12	6	13	8	12	7
E92000001	2020-03-18	maleCases	20	10	15	75	123	137	116	141	153	208	204	8	185	201	222	251	231	206	123
E12000001	2020-03-19	maleCases	0	0	1	0	1	5	1	2	3	4	2	0	3	5	2	7	4	2	5
E12000002	2020-03-19	maleCases	1	0	4	9	8	8	11	22	11	21	28	0	21	24	14	26	33	15	12
E12000003	2020-03-19	maleCases	0	1	0	3	10	6	5	6	7	11	12	1	9	10	18	11	9	4	5
E12000004	2020-03-19	maleCases	5	2	0	7	2	10	8	7	10	13	25	1	13	15	9	23	18	15	10
E12000005	2020-03-19	maleCases	1	0	2	5	10	11	13	7	24	15	19	1	19	31	39	35	40	45	16
E12000006	2020-03-19	maleCases	0	1	3	8	10	10	9	18	20	28	19	0	15	21	22	18	13	11	1
E12000007	2020-03-19	maleCases	15	3	2	29	59	79	58	68	69	102	93	4	92	85	111	112	118	110	63
E12000008	2020-03-19	maleCases	3	2	2	10	17	20	24	18	22	34	16	2	35	24	40	58	35	27	32
E12000009	2020-03-19	maleCases	0	1	2	4	11	1	5	7	13	9	23	0	11	12	7	15	12	12	8
E92000001	2020-03-19	maleCases	25	10	17	82	133	155	139	160	184	246	242	9	222	230	267	309	286	242	155
E12000001	2020-03-20	maleCases	0	0	1	1	2	6	2	3	4	4	3	0	4	5	3	8	7	3	5
E12000002	2020-03-20	maleCases	1	0	4	9	9	9	14	22	12	23	33	0	25	29	19	29	36	16	15
E12000003	2020-03-20	maleCases	0	1	0	3	11	6	5	6	11	13	13	1	12	11	19	13	12	5	6
E12000004	2020-03-20	maleCases	5	2	0	7	3	10	9	7	10	15	29	1	18	18	12	29	23	21	11
E12000005	2020-03-20	maleCases	1	1	2	5	12	14	14	9	25	24	23	3	24	38	50	43	50	55	26
E12000006	2020-03-20	maleCases	0	1	3	10	11	10	11	20	21	31	24	0	16	25	25	21	14	19	5
E12000007	2020-03-20	maleCases	18	4	4	32	64	85	72	79	86	131	112	4	115	106	126	133	147	123	74
E12000008	2020-03-20	maleCases	4	2	3	10	18	23	26	22	26	40	23	2	43	27	48	64	39	32	42
E12000009	2020-03-20	maleCases	0	1	2	4	12	2	5	8	13	11	28	0	13	14	10	19	15	13	11
E92000001	2020-03-20	maleCases	29	12	20	89	149	172	165	182	213	305	293	11	276	277	318	364	348	290	198
E12000001	2020-03-21	maleCases	0	0	1	2	2	7	2	3	4	4	3	0	4	7	4	10	11	4	6
E12000002	2020-03-21	maleCases	1	0	5	10	11	10	15	26	18	29	39	0	30	36	25	33	42	21	18
